,,,,,　総 人 口　(確 定 値）　,,,         Total  population  (Final estimates),,,,,,,,,,,日 本 人 人 口　(確 定 値）　,,,,Japanese  population  (Final estimates),,,,,,,,,,外 国 人 人 口　(確 定 値）　,,,,Foreign  population  (Final estimates),,,,,,,,,,,,,,,,,,
,,,,,,    人　 口　 増　 減 3) 　　　,,,           Population  change,,,,,,,,,,,    人　 口　 増　 減 3) 　　　,,,     Population  change,,,,,,,,,,,    人　 口　 増　 減 3) 　　　,,,     Population  change,,,,,,,,,,,,,,,,,,
  年     月,, 月初人口 1)2),,,純　増　減,,,自　然　動　態 4),,社　会　動　態 5),,,,  年　   月,, 月初人口 1)2),,,純　増　減,,,自　然　動　態 4),,社　会　動　態 5),,,国籍の異動 7),  年　   月,, 月初人口 1)2),,,純　増　減,,,自　然　動　態 4),,社　会　動　態 5),,,国籍の異動 7),,,,,,,,,,,,,,
,,,,,Net  change,,  Natural  change,,, Migration  change,,,,,,,,,Net  change,,  Natural  change,,,Migration  change,,,による純増減,,,,,,Net  change,,  Natural  change,,,Migration  change,,,による純増減,,,,,,,,,,,,,,
,,,,,増減数,増減率6),出生児数,死亡者数,自然増減,入国者数,出国者数,社会増減,,,,,,,増減数,増減率6),出生児数,死亡者数,自然増減,入国者数,出国者数,社会増減,Net increase,,,,,,増減数,増減率6),出生児数,死亡者数,自然増減,入国者数,出国者数,社会増減,Net increase,,,,,,,,,,,,,,
  Year and month,,Population as of   ,,,,,,,Natural ,,,Net,,Year and month,,Population as of   ,,,,,,,Natural ,,,Net,or decrease,Year and month,,Population as of   ,,,,,,,Natural ,,,Net,or decrease,,,,,,,,,,,,,,
,,1st of each month ,,,Number,Rate,Live Births,Deaths,change,Entries,Exits,migration,,,,1st of each month ,,,Number,Rate,Live Births,Deaths,change,Entries,Exits,migration,by change,,,1st of each month ,,,Number,Rate,Live Births,Deaths,change,Entries,Exits,migration,by change,,,,,,,,,,,,,,
,,,,,(6)+(9),(‰),,,(4)-(5),,,(7)-(8),,,,,,,(15)+(18)+(19),(‰),,,(13)-(14),,,(16)-(17),of nationality,,,,,,(25)+(28)+(29),(‰),,,(23)-(24),,,(26)-(27),of nationality,,,,,,,,,,,,,,
,,,       (1),,(2),(3),(4),(5),(6),(7),(8),(9),,,,,       (10),,(11),(12),(13),(14),(15),(16),(17),(18),(19),,,,      (20),,(21),(22),(23),(24),(25),(26),(27),(28),(29),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022年,,,"124,946,789",,"-555,501",-4.43,"799,486","1,530,102","-730,616","1,595,872","1,420,757","175,115",,2022年,,,"122,030,523",,"-749,964",-6.11,"782,089","1,521,435","-739,346","587,183","602,733","-15,550","4,932",2022年,,,"2,916,266",,"194,463",71.45,"17,397","8,667","8,730","1,008,689","818,024","190,665","-4,932",,,,,,,,,,,,,,
2023年,,,"124,351,877",,"-594,912",-4.76,"757,939","1,594,982","-837,043","3,250,231","3,008,100","242,131",,2023年,,,"121,193,394",,"-837,129",-6.86,"739,140","1,586,146","-847,006","913,238","911,312","1,926","7,951",2023年,,,"3,158,483",,"242,217",83.06,"18,799","8,836","9,963","2,336,993","2,096,788","240,205","-7,951",,,,,,,,,,,,,,
2024年,,,"123,801,750",,"-550,127",-4.42,"717,291","1,607,261","-889,970","4,192,568","3,852,725","339,843",,2024年,,,"120,295,592",,"-897,802",-7.41,"695,391","1,598,390","-902,999","960,697","963,038","-2,341","7,538",2024年,,,"3,506,158",,"347,675",110.08,"21,900","8,871","13,029","3,231,871","2,889,687","342,184","-7,538",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023年,,,,,,,,,,,,,,2023年,,,,,,,,,,,,,,2023年,,,,,,,,,,,,,,,,,,,,,,,,,,,
     8月,Aug.,,"124,439,151",,"-91,280",-0.73,"67,135","130,439","-63,304","409,484","437,460","-27,976",,     8月,Aug.,,"121,409,946",,"-139,638",-1.15,"65,364","129,675","-64,311","76,609","152,739","-76,130",803,     8月,Aug.,,"3,029,205",,"48,358",15.96,"1,771",764,"1,007","332,875","284,721","48,154",-803,,,,,,,,,,,,,,
     9月,Sept.,,"124,347,871",,"4,006",0.03,"63,022","126,925","-63,903","337,854","269,945","67,909",,     9月,Sept.,,"121,270,308",,"-76,914",-0.63,"61,284","126,175","-64,891","60,545","71,916","-11,371",-652,     9月,Sept.,,"3,077,563",,"80,920",26.29,"1,738",750,988,"277,309","198,029","79,280",652,,,,,,,,,,,,,,
    10月,Oct.,,"124,351,877",,"-9,555",-0.08,"63,785","133,591","-69,806","299,668","239,417","60,251",,    10月,Oct.,,"121,193,394",,"-75,741",-0.62,"61,928","132,856","-70,928","61,170","66,751","-5,581",768,    10月,Oct.,,"3,158,483",,"66,186",20.95,"1,857",735,"1,122","238,498","172,666","65,832",-768,,,,,,,,,,,,,,
    11月,Nov.,,"124,342,322",,"-43,118",-0.35,"61,471","133,481","-72,010","255,718","226,826","28,892",,    11月,Nov.,,"121,117,653",,"-70,886",-0.59,"59,669","132,786","-73,117","56,168","54,645","1,523",708,    11月,Nov.,,"3,224,669",,"27,768",8.61,"1,802",695,"1,107","199,550","172,181","27,369",-708,,,,,,,,,,,,,,
